Time,Price,%,SD
12/03 09:25,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,980,920,1000,1184
1160,1390,1290,1340,1500,1370,1300,1500,1622
734,890,810,860,1510,1890,1800,1910,2206
440,550,490,530,1520,2550,2490,2580,2908
260,320,290,310,1530,3330,3230,3360,3748
146,180,165,175,1540,4220,4100,4220,4608
81,105,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:15,"1,500.58",0.41,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3470,1470,510,480,560,641
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,980,920,1000,1184
1160,1390,1290,1340,1500,1370,1300,1500,1622
734,890,810,860,1510,1890,1800,1930,2206
440,550,490,530,1520,2550,2490,2600,2908
260,320,290,310,1530,3330,3230,3360,3748
146,180,165,175,1540,4220,4100,4230,4608
81,105,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:17,"1,500.47",0.40,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3470,1470,510,480,560,641
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,980,920,1000,1184
1160,1390,1290,1340,1500,1370,1300,1500,1622
734,890,810,860,1510,1890,1800,1930,2206
440,550,490,530,1520,2550,2490,2600,2908
260,320,290,310,1530,3330,3230,3360,3748
146,180,165,175,1540,4220,4100,4230,4608
81,105,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:19,"1,500.47",0.40,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3480,1470,510,480,560,641
2405,2760,2630,2690,1480,690,660,770,864
1718,2010,1860,1970,1490,970,920,1000,1184
1160,1390,1290,1360,1500,1350,1300,1500,1622
734,890,810,880,1510,1870,1800,1930,2206
440,550,490,540,1520,2540,2490,2600,2908
260,320,290,320,1530,3320,3230,3360,3748
146,185,165,185,1540,4160,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:21,"1,500.95",0.43,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3480,1470,510,480,560,641
2405,2760,2630,2690,1480,690,660,770,864
1718,2010,1860,1970,1490,970,920,1000,1184
1160,1390,1290,1360,1500,1350,1300,1500,1622
734,890,810,880,1510,1870,1800,1930,2206
440,550,490,540,1520,2540,2490,2600,2908
260,320,290,320,1530,3320,3230,3360,3748
146,185,165,185,1540,4160,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:23,"1,500.95",0.43,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3480,1470,510,480,560,641
2405,2760,2630,2690,1480,690,660,770,864
1718,2010,1860,1970,1490,970,920,1000,1184
1160,1390,1290,1360,1500,1350,1300,1500,1622
734,890,810,880,1510,1870,1800,1930,2206
440,550,490,540,1520,2540,2490,2600,2908
260,320,290,320,1530,3320,3230,3360,3748
146,190,165,185,1540,4160,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:25,"1,500.95",0.43,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,360,360,410,478
3156,3580,3420,3480,1470,490,480,560,641
2405,2760,2630,2690,1480,690,660,770,864
1718,2010,1860,1960,1490,960,920,1000,1184
1160,1390,1290,1360,1500,1340,1300,1500,1622
734,890,810,880,1510,1860,1800,1930,2206
440,550,490,540,1520,2520,2490,2600,2908
260,320,290,320,1530,3320,3230,3360,3748
146,190,165,190,1540,4160,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:27,"1,500.59",0.41,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,4380,1460,380,360,410,478
3156,3580,3420,3500,1470,500,480,560,641
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,970,920,1000,1184
1160,1390,1290,1340,1500,1360,1300,1500,1622
734,890,810,860,1510,1880,1800,1930,2206
440,550,490,530,1520,2570,2490,2600,2908
260,320,290,320,1530,3330,3230,3360,3748
146,190,165,185,1540,4200,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:29,"1,500.59",0.41,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,4380,4380,4380,1460,380,360,410,478
3156,3580,3420,3500,1470,500,480,560,641
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,970,920,1000,1184
1160,1390,1290,1340,1500,1360,1300,1500,1622
734,890,810,860,1510,1880,1800,1930,2206
440,550,490,530,1520,2570,2490,2600,2908
260,320,290,320,1530,3330,3230,3360,3748
146,190,165,185,1540,4200,4100,4230,4608
81,110,92,105,1550,5584,0,0,5584
Time,Price,%,SD
12/03 10:31,"1,499.74",0.35,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5210,5210,1450,280,260,290,360
3959,4380,4380,4380,1460,380,360,410,478
3156,3580,3420,3500,1470,500,480,560,641
2405,2760,2630,2670,1480,700,660,770,864
1718,2010,1860,1950,1490,970,920,1000,1184
1160,1390,1290,1340,1500,1360,1300,1500,1622
734,890,810,860,1510,1880,1800,1930,2206
440,550,490,530,1520,2570,2490,2600,2908
260,320,290,320,1530,3330,3230,3360,3748
146,190,165,185,1540,4200,4100,4230,4608
Time,Price,%,SD
12/03 10:33,"1,499.74",0.35,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5210,5210,1450,280,260,290,360
3959,4380,4380,4380,1460,380,360,410,478
3156,3580,3420,3430,1470,510,480,560,641
2405,2760,2630,2650,1480,710,660,770,864
1718,2010,1860,1900,1490,970,920,1000,1184
1160,1390,1290,1300,1500,1400,1300,1500,1622
734,890,810,840,1510,1950,1800,1930,2206
440,550,490,520,1520,2600,2490,2600,2908
260,320,290,300,1530,3400,3230,3360,3748
146,190,165,180,1540,4180,4100,4230,4608
Time,Price,%,SD
12/03 10:35,"1,498.37",0.26,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5210,5210,1450,280,260,290,360
3959,4380,4380,4380,1460,380,360,410,478
